file_name,word_text,word_bbox,entity_text,entity_bbox,label,id,id_from,id_to
71206427,ITEM:,"[394, 145, 433, 162]",ITEM:,"[394, 145, 433, 162]",question,0,0.0,15.0
71206427,DATE:,"[109, 112, 151, 129]",DATE:,"[109, 112, 151, 129]",question,1,1.0,13.0
71206427,BRAND:,"[110, 140, 159, 155]",BRAND:,"[110, 140, 159, 155]",question,2,2.0,14.0
71206427,SUMMARY,"[109, 183, 168, 198]",SUMMARY,"[109, 183, 168, 198]",question,3,,
71206427,OF,"[175, 184, 193, 195]",OF,"[175, 184, 193, 195]",question,4,,
71206427,PROJECT:,"[201, 184, 267, 198]",PROJECT:,"[201, 184, 267, 198]",question,5,5.0,6.0
71206427,PROJECT:,"[201, 184, 267, 198]",PROJECT:,"[201, 184, 267, 198]",question,5,5.0,7.0
71206427,Attached,"[317, 186, 385, 199]",Attached,"[317, 186, 385, 199]",answer,6,5.0,6.0
71206427,See,"[282, 186, 310, 197]",See,"[282, 186, 310, 197]",answer,7,5.0,7.0
71206427,FUNDING:,"[103, 404, 173, 418]",FUNDING:,"[103, 404, 173, 418]",question,8,8.0,22.0
71206427,FUNDING:,"[103, 404, 173, 418]",FUNDING:,"[103, 404, 173, 418]",question,8,8.0,23.0
71206427,SIGNATURES:,"[101, 559, 196, 574]",SIGNATURES:,"[101, 559, 196, 574]",header,9,9.0,28.0
71206427,SIGNATURES:,"[101, 559, 196, 574]",SIGNATURES:,"[101, 559, 196, 574]",header,9,9.0,25.0
71206427,SIGNATURES:,"[101, 559, 196, 574]",SIGNATURES:,"[101, 559, 196, 574]",header,9,9.0,24.0
71206427,SIGNATURES:,"[101, 559, 196, 574]",SIGNATURES:,"[101, 559, 196, 574]",header,9,9.0,27.0
71206427,SIGNATURES:,"[101, 559, 196, 574]",SIGNATURES:,"[101, 559, 196, 574]",header,9,9.0,26.0
71206427,4514cbta,"[98, 824, 166, 838]",4514cbta,"[98, 824, 166, 838]",other,10,,
71206427,,"[545, 21, 647, 117]",,"[545, 21, 647, 117]",other,11,,
71206427,PROJECT,"[328, 74, 388, 89]",PROJECT BRIEF,"[328, 74, 437, 90]",header,12,,
71206427,BRIEF,"[395, 75, 437, 90]",PROJECT BRIEF,"[328, 74, 437, 90]",header,12,,
71206427,June,"[194, 115, 230, 129]","June 1, 1990","[194, 115, 295, 130]",answer,13,1.0,13.0
71206427,"1,","[235, 115, 252, 129]","June 1, 1990","[194, 115, 295, 130]",answer,13,1.0,13.0
71206427,1990,"[261, 115, 295, 130]","June 1, 1990","[194, 115, 295, 130]",answer,13,1.0,13.0
71206427,General,"[176, 142, 235, 157]",General Merchandising Nonspecific,"[176, 142, 352, 170]",answer,14,2.0,14.0
71206427,Merchandising,"[243, 142, 352, 159]",General Merchandising Nonspecific,"[176, 142, 352, 170]",answer,14,2.0,14.0
71206427,Nonspecific,"[177, 155, 268, 170]",General Merchandising Nonspecific,"[176, 142, 352, 170]",answer,14,2.0,14.0
71206427,Package,"[451, 147, 508, 162]",Package Fixture Circle-K Convenient Stores,"[450, 147, 653, 175]",answer,15,0.0,15.0
71206427,Fixture,"[517, 147, 576, 162]",Package Fixture Circle-K Convenient Stores,"[450, 147, 653, 175]",answer,15,0.0,15.0
